type,Label,ID,session,bias,bias_error,MgO,FeO,CaO,Cr2O3,MnO,Yield,Fo,R_Mg_Si
standard,WK-Ol,WI-STD-91 WKOL1_1,3,-0.02,0.151586658,52.04,5.22,0.124,0.22,0.1,1.82,0.946700118,8.66
standard,WK-Ol,WI-STD-91 WKOL1_1,3,-0.08,0.195643446,52.04,5.22,0.124,0.22,0.1,1.84,0.946700118,8.66
standard,WK-Ol,WI-STD-91 WKOL1_2,3,-0.17,0.151811931,52.04,5.22,0.124,0.22,0.1,1.82,0.946700118,8.66
standard,WK-Ol,WI-STD-91 WKOL1_2,3,-0.14,0.195643446,52.04,5.22,0.124,0.22,0.1,1.84,0.946700118,8.66
standard,WN-Ol,WI-STD-91 WNOL1E_1,3,-0.58,0.195643446,53.52,5.16,0,0,0.34,1.83,0.948663485,8.07
standard,WN-Ol,WI-STD-91 WNOL1E_2,3,-0.55,0.195643446,53.52,5.16,0,0,0.34,1.82,0.948663485,8.07
standard,WN-Ol,WI-STD-91 WNOL4A_1,3,-0.51,0.195643446,53.99,4.01,0,0,0.3,1.82,0.959980288,8.17
standard,WN-Ol,WI-STD-91 WNOL4A_2,3,-0.44,0.195643446,53.99,4.01,0,0,0.3,1.82,0.959980288,8.17
unknown,DOM501,DOM501_1,3,,,57.176003,0.593579,0.119,0.188,0.088,1.716037676,0.994206753,8.890270698
unknown,DOM501,DOM501_2,3,,,56.500057,0.315099,0.082,0.177,0.108,1.748666271,0.99687952,8.863494745
unknown,DOM501,DOM501_3,3,,,57.385509,0.080821,0.165,0.1,0.032,1.724895529,0.999210123,8.741743843
unknown,DOM501,DOM501_4,3,,,56.964214,0.224917,0.189,0.072,0.028,1.721491146,0.997788742,8.629154288
unknown,DOM501,DOM501_5,3,,,57.049671,0.693408,0.151,0.117,0.078,1.732697454,0.993224153,8.755360863
unknown,DOM501,DOM501_6,3,,,56.920074,0.551137,0.128,0.093,0.051,1.709383883,0.994594687,8.774751337
unknown,DOM501,DOM501_7,3,,,56.985371,0.500057,0.142,0.163,0.093,1.742062021,0.995098794,9.059857614
unknown,DOM502,DOM502_1,3,,,57.735939,0.706338,0.033,0.32,0.074,1.710775552,0.993180148,9.083773752
unknown,DOM502,DOM502_2,3,,,57.630798,0.707764,0.045,0.316,0.084,1.707522633,0.993154092,9.097770701
unknown,DOM502,DOM502_3,3,,,56.740601,0.440859,0.037,0.321,0.314,1.747306563,0.995657933,9.297418311
unknown,DOM502,DOM502_4,3,,,56.961155,0.393513,0.037,0.295,0.283,1.759577475,0.996137396,9.306330809
unknown,DOM503,DOM503_1,3,,,58.023647,0.403363,0.039,0.212,0.088,1.673419329,0.996113306,8.808182292
unknown,DOM503,DOM503_2,3,,,57.432655,0.331339,0.063,0.164,0.024,1.662628183,0.996772322,8.727264089
unknown,DOM503,DOM503_3,3,,,57.492561,0.188106,0.052,0.195,0.042,1.663841501,0.998166948,8.891881811
unknown,DOM503,DOM503_4,3,,,57.663845,0.27771,0.052,0.152,0.067,1.647130675,0.997304147,8.968812986
unknown,DOM505,DOM505_1,3,,,57.605854,0.257797,0.06,0.259,0.135,1.641402906,0.997494454,8.869235279
unknown,DOM505,DOM505_2,3,,,57.529102,0.086299,0.079,0.128,0.026,1.613557495,0.999158734,8.536983164
unknown,DOM505,DOM505_3,3,,,57.093525,0.096519,0.066,0.179,0.073,1.679054226,0.99905203,8.665744606
unknown,DOM505,DOM505_4,3,,,57.705215,0.192422,0.075,0.129,0.019,1.666091081,0.998131865,8.601214771
unknown,DOM511,DOM511_1,3,,,57.353172,0.386618,0.09,0.096,0.02,1.700993213,0.996230662,8.641326554
unknown,DOM511,DOM511_2,3,,,57.644012,0.447638,0.077,0.123,0.09,1.713622778,0.995660252,8.897441954
unknown,DOM511,DOM511_3,3,,,56.885849,0.399631,0.101,0.128,0.095,1.715952482,0.996072407,8.614459026
unknown,DOM511,DOM511_4,3,,,57.468697,0.616135,0.109,0.113,0.005,1.702158338,0.99401837,8.730483094
unknown,DOM512,DOM512_1,3,,,57.30233,0.200704,0.04,0.273,0.215,1.709173394,0.998037944,9.039292519
unknown,DOM512,DOM512_2,3,,,57.599957,0.340093,0.037,0.233,0.088,1.739615127,0.996696919,9.032520532
unknown,DOM512,DOM512_3,3,,,57.622784,0.246986,0.032,0.245,0.048,1.743024307,0.997599978,9.106264662
unknown,DOM513,DOM513_1,3,,,57.141228,0.323943,0.269,0.055,0.0039,1.711770384,0.996828097,8.534701067
unknown,DOM513,DOM513_2,3,,,57.195518,0.372393,0.249,0.062,0.0046,1.718029262,0.996358872,8.690937079
unknown,DOM513,DOM513_3,3,,,57.340843,0.424304,0.283,0.078,0.004,1.720309019,0.995863875,8.645638477
unknown,K27,K27_3,2,,,57.870247,0.324,0.128,0.11,0.027,2.136925545,0.99686738,7.793551288
unknown,K27,K27_4,2,,,57.367226,0.064,0.15,0.081,0.008,2.126584613,0.999374215,7.970546535
unknown,K27,K27_5,2,,,57.058586,0.065,0.158,0.083,0.008,2.108558202,0.999361008,7.894769383
unknown,K27,K27_6,2,,,57.403477,0.116,0.23,0.057,0.009,2.103888754,0.998867057,7.830728045
unknown,K27,K27_7,2,,,57.203888,0.072,0.202,0.113,0.024,2.122976853,0.999294039,7.936778728
unknown,K27,K27_8,2,,,57.72044,0.148385,0.136,0.105,0.007,2.434592961,0.998559163,7.965254008
unknown,K27,K27_9,2,,,56.929134,0.117191,0.089,0.138,0.098,2.166072044,0.998845912,7.943681535
unknown,T149F1,T149F1_1,1,,,44.77,14.53,0.115,0.51,0.332,1.978323867,0.845973689,10.45355104
unknown,T149F1,T149F1_2,1,,,44.77,14.53,0.116,0.53,0.342,1.939103219,0.845973689,10.45355104
unknown,T149F1,T149F1_3,1,,,44.77,14.53,0,0,0,1.870608476,0.845973689,10.45355104
unknown,T149F1,T149F1_4,1,,,44.77,14.53,0,0,0,1.9022373,0.845973689,10.45355104
unknown,T77F7,T77F7_1,1,,,29.64,35.31,0.2,0.04,0.74,1.405909367,0.599408376,4.148178742
unknown,T77F7,T77F7_2,1,,,29.64,35.31,0.2,0.04,0.74,1.220326309,0.599408376,4.148178742
unknown,T77F4,T77F4_1,1,,,27.89,33.86,0.186,0.07,0.48,1.621315879,0.594855771,8.406226533
unknown,T175F1,T175F1_1,1,,,58.534,0.202,0.0038,0.15,0.06,1.609724545,0.998067753,8.266658246
unknown,T77F50,T77F50_1,1,,,57.37,0.18,0.03,0.31,0.46,1.169577544,0.998242953,8.728188889
unknown,T77F50,T77F50_2,1,,,57.37,0.18,0.031,0.31,0.25,1.979477524,0.998242953,8.728188889
